country_year,country,country_iso_code,year,sector,revenue_stream,government_entity,original_value,original_currency,revenues_USD,gfs_code,gfs_code2,gfs_level_1,gfs_level_2,gfs_level_3,gfs_level_4,gfs_level_5,gfs_level_6
"Senegal 2013",Senegal,SN,2013,NA,"Impôt sur les sociétés (secteur minier - flux n°18), Impôt sur les sociétés (secteur des hydrocarbures - flux n°14)","Direction Générale des Impôts et des Domaines (DGID)",2983000.0000000000,NA,2983000.0000000000,1112E1,"Ordinary taxes on income, profits and capital gains (1112E1)","[1E] Revenues","[11E] Taxes","[111E] Taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains"
"Senegal 2013",Senegal,SN,2013,NA,"Impôt sur le revenu des valeurs mobilières (flux n°17)","Direction Générale des Impôts et des Domaines (DGID)",0.0000000000,NA,0.0000000000,1112E1,"Ordinary taxes on income, profits and capital gains (1112E1)","[1E] Revenues","[11E] Taxes","[111E] Taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains"
"Senegal 2013",Senegal,SN,2013,NA,"Contribution foncière des propriétés bâties (CFPB) (flux n°5)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",0.0000000000,NA,0.0000000000,113E,"Taxes on property (113E)","[1E] Revenues","[11E] Taxes","[113E] Taxes on property","[113E] Taxes on property","[113E] Taxes on property","[113E] Taxes on property"
"Senegal 2013",Senegal,SN,2013,NA,"Contribution foncière des propriétés non bâties (CFPNB) (flux n°6)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",0.0000000000,NA,0.0000000000,113E,"Taxes on property (113E)","[1E] Revenues","[11E] Taxes","[113E] Taxes on property","[113E] Taxes on property","[113E] Taxes on property","[113E] Taxes on property"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe sur la valeur ajoutée précomptée et reversée à la DGID (flux n°29), Taxe sur la valeur ajoutée précomptée et reversée à la DGID (flux n°37)","Direction Générale des Impôts et des Domaines (DGID)",59000.0000000000,NA,59000.0000000000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe sur la Valeur ajoutée reversée à la DGD (flux n°30),Taxe sur la Valeur ajoutée reversée à la DGD (flux n°39)","Direction Générale des Douanes (DGD)",452000.0000000000,NA,452000.0000000000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe sur la valeur ajoutée reversée à la DGID (flux n°31),Taxe sur la valeur ajoutée reversée à la DGID (flux n°38)","Direction Générale des Impôts et des Domaines (DGID)",35951000.0000000000,NA,35951000.0000000000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2013",Senegal,SN,2013,NA,"Impôt du minimum fiscal (flux n°15)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",0.0000000000,NA,0.0000000000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2013",Senegal,SN,2013,NA,"Impôt minimum forfaitaire (flux n°16)","Direction Générale des Impôts et des Domaines (DGID)",0.0000000000,NA,0.0000000000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2013",Senegal,SN,2013,NA,"Contribution spéciale sur les produits des mines et des carrières (CSMC) (flux n°7)","Direction Générale des Impôts et des Domaines (DGID)",480000.0000000000,NA,480000.0000000000,1142E,"Excise taxes (1142E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1142E] Excise taxes","[1142E] Excise taxes","[1142E] Excise taxes"
"Senegal 2013",Senegal,SN,2013,NA,"Patente (flux n°21)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",2892000.0000000000,NA,2892000.0000000000,114521E,"Licence fees (114521E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1145E] Taxes on use of goods/permission to use goods or perform activities","[114521E] Licence fees","[114521E] Licence fees"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe à la pollution (flux n°33)","Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",0.0000000000,NA,0.0000000000,114522E,"Emission and pollution taxes (114522E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1145E] Taxes on use of goods/permission to use goods or perform activities","[114522E] Emission and pollution taxes","[114522E] Emission and pollution taxes"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe d'enregistrement des véhicules (secteur des hydrocarbures - flux n°28), Taxe d'enregistrement des véhicules (secteur minier - flux n°34)","Direction Générale des Douanes (DGD)",0.0000000000,NA,0.0000000000,11451E,"Motor vehicle taxes (11451E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1145E] Taxes on use of goods/permission to use goods or perform activities","[11451E] Motor vehicle taxes","[11451E] Motor vehicle taxes"
"Senegal 2013",Senegal,SN,2013,NA,"Droits de douane (flux n°13)","Direction Générale des Douanes (DGD)",227000.0000000000,NA,227000.0000000000,1151E,"Customs and other import duties (1151E)","[1E] Revenues","[11E] Taxes","[115E] Taxes on international trade and transactions","[1151E] Customs and other import duties","[1151E] Customs and other import duties","[1151E] Customs and other import duties"
"Senegal 2013",Senegal,SN,2013,NA,"Prélèvement communautaire solidaire UEMOA (flux n°19)","Direction Générale des Douanes (DGD)",160000.0000000000,NA,160000.0000000000,1152E,"Taxes on exports (1152E)","[1E] Revenues","[11E] Taxes","[115E] Taxes on international trade and transactions","[1152E] Taxes on exports","[1152E] Taxes on exports","[1152E] Taxes on exports"
"Senegal 2013",Senegal,SN,2013,NA,"Prélèvement communautaire CEDEAO (secteur des hydrocarbures - flux n°18), Prélèvement communautaire CEDEAO (secteur minier - flux n°23)","Direction Générale des Douanes (DGD)",81000.0000000000,NA,81000.0000000000,1152E,"Taxes on exports (1152E)","[1E] Revenues","[11E] Taxes","[115E] Taxes on international trade and transactions","[1152E] Taxes on exports","[1152E] Taxes on exports","[1152E] Taxes on exports"
"Senegal 2013",Senegal,SN,2013,NA,"Autres paiements significatifs (secteur des hydrocabures- flux n°32), Autres paiements significatifs (secteur minier - flux n°42)",Autres,0.0000000000,NA,0.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Retenues à la source sur bénéfice non commercial (secteur des hydrocarbures - flux n°23), Retenues à la source sur bénéfice non commercial (secteur minier - flux n°29)","Direction Générale des Impôts et des Domaines (DGID)",408000.0000000000,NA,408000.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Retenues à la source sur tiers (secteur des hydrocabures - flux n°25), Retenues à la source sur tiers (secteur minier - flux n°31)","Direction Générale des Impôts et des Domaines (DGID)",2921000.0000000000,NA,2921000.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Contribution au Programme social minier (PSM)(flux n°4)",Unassigned,0.0000000000,NA,0.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Droits fixes (flux n°14)","Direction des Mines et de la Géologie (DMG)",0.0000000000,NA,0.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Prélèvement pour le Conseil Sénégalais des Chargeurs (COSEC) (flux n°25)",Unassigned,9000.0000000000,NA,9000.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe intérieure (flux n°35)","Direction Générale des Douanes (DGD)",0.0000000000,NA,0.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Taxes d'abattage (flux n°41)","Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",295000.0000000000,NA,295000.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Taxes d'enregistrement/Droits d'entrée (flux n°42)","Direction des Mines et de la Géologie (DMG)",0.0000000000,NA,0.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Dépenses sociales (flux n°10)","Direction des Mines et de la Géologie (DMG)",406000.0000000000,NA,406000.0000000000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2013",Senegal,SN,2013,NA,"Dividendes versés à PETROSEN (flux n°12)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,1412E1,"From state-owned enterprises (1412E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1412E] Dividends","[1412E1] From state-owned enterprises","[1412E1] From state-owned enterprises"
"Senegal 2013",Senegal,SN,2013,NA,"Dividendes versés à l'État (flux n°11), Dividendes (flux n°11)","Direction Générale des Impôts et des Domaines (DGID)",0.0000000000,NA,0.0000000000,1412E2,"From government participation (equity) (1412E2)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1412E] Dividends","[1412E2] From government participation (equity)","[1412E2] From government participation (equity)"
"Senegal 2013",Senegal,SN,2013,NA,"Redevance (flux n°20)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2013",Senegal,SN,2013,NA,"Redevance minière (flux n°26)","Direction des Mines et de la Géologie (DMG)",1036000.0000000000,NA,1036000.0000000000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2013",Senegal,SN,2013,NA,"Redevance statistique UEMOA (secteur des hydrocarbures - flux n°21), Redevance statistique UEMOA (secteur minier - flux n°27)","Direction Générale des Douanes (DGD)",166000.0000000000,NA,166000.0000000000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2013",Senegal,SN,2013,NA,"Loyer superficiel (flux n°15)","Société des Pétroles du Sénégal (PETROSEN)",40000.0000000000,NA,40000.0000000000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe superficiaire (flux n°36)","Direction de l'Environnement et des Etablissements Classés (DEEC)",76000.0000000000,NA,76000.0000000000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2013",Senegal,SN,2013,NA,"Bonus (secteur des hydrocarbures - flux n°8), Bonus (secteur minier - flux n°3)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,1415E2,"Bonuses (1415E2)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E2] Bonuses","[1415E2] Bonuses"
"Senegal 2013",Senegal,SN,2013,NA,"Revenus issus de la commercialisation de la Part de la production de l'État (flux n°26)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",0.0000000000,NA,0.0000000000,1415E31,"Delivered/paid directly to government (1415E31)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E3] Production entitlements (in-kind or cash)","[1415E31] Delivered/paid directly to government"
"Senegal 2013",Senegal,SN,2013,NA,"Part de la production de l’État commercialisée (Profit Oil État commercialisé) (flux n°2)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,1415E31,"Delivered/paid directly to government (1415E31)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E3] Production entitlements (in-kind or cash)","[1415E31] Delivered/paid directly to government"
"Senegal 2013",Senegal,SN,2013,NA,"Part de la production de l'État (Profit Oil État)  (flux n°1)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,1415E31,"Delivered/paid directly to government (1415E31)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E3] Production entitlements (in-kind or cash)","[1415E31] Delivered/paid directly to government"
"Senegal 2013",Senegal,SN,2013,NA,"Part de la production de PETROSEN (Profit Oil PETROSEN) (flux n°3)","Société des Pétroles du Sénégal (PETROSEN)",1642000.0000000000,NA,1642000.0000000000,1415E32,"Delivered/paid to state-owned enterprise(s) (1415E32)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E3] Production entitlements (in-kind or cash)","[1415E32] Delivered/paid to state-owned enterprise(s)"
"Senegal 2013",Senegal,SN,2013,NA,"Appui à l'équipement (flux n°7)","Société des Pétroles du Sénégal (PETROSEN)",150000.0000000000,NA,150000.0000000000,1415E4,"Compulsory transfers to government (infrastructure and other) (1415E4)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E4] Compulsory transfers to government (infrastructure and other)","[1415E4] Compulsory transfers to government (infrastructure and other)"
"Senegal 2013",Senegal,SN,2013,NA,"Appui à la promotion de la recherche et de l'exploitation (flux n°6)","Société des Pétroles du Sénégal (PETROSEN)",300000.0000000000,NA,300000.0000000000,1415E4,"Compulsory transfers to government (infrastructure and other) (1415E4)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E4] Compulsory transfers to government (infrastructure and other)","[1415E4] Compulsory transfers to government (infrastructure and other)"
"Senegal 2013",Senegal,SN,2013,NA,"Appui à la formation (flux n°5)","Société des Pétroles du Sénégal (PETROSEN)",1245000.0000000000,NA,1245000.0000000000,1415E4,"Compulsory transfers to government (infrastructure and other) (1415E4)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E4] Compulsory transfers to government (infrastructure and other)","[1415E4] Compulsory transfers to government (infrastructure and other)"
"Senegal 2013",Senegal,SN,2013,NA,"Appui institutionnel (flux n°1)","Direction des Mines et de la Géologie (DMG)",367000.0000000000,NA,367000.0000000000,1415E4,"Compulsory transfers to government (infrastructure and other) (1415E4)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E4] Compulsory transfers to government (infrastructure and other)","[1415E4] Compulsory transfers to government (infrastructure and other)"
"Senegal 2013",Senegal,SN,2013,NA,"Appui institutionnel aux collectivités locales (flux n°2)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,1415E4,"Compulsory transfers to government (infrastructure and other) (1415E4)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E4] Compulsory transfers to government (infrastructure and other)","[1415E4] Compulsory transfers to government (infrastructure and other)"
"Senegal 2013",Senegal,SN,2013,NA,"Surtaxe foncière (flux n°32)","Direction Générale des Impôts et des Domaines (DGID)",0.0000000000,NA,0.0000000000,1415E5,"Other rent payments (1415E5)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E5] Other rent payments","[1415E5] Other rent payments"
"Senegal 2013",Senegal,SN,2013,NA,"Taxe sur les ordures ménagères (flux n°40)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",0.0000000000,NA,0.0000000000,1415E5,"Other rent payments (1415E5)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E5] Other rent payments","[1415E5] Other rent payments"
"Senegal 2013",Senegal,SN,2013,NA,"Achat de données sismiques (flux n°4)","Société des Pétroles du Sénégal (PETROSEN)",162000.0000000000,NA,162000.0000000000,1421E,"Sales of goods and services by government units (1421E)","[1E] Revenues","[14E] Other revenue","[142E] Sales of goods and services","[1421E] Sales of goods and services by government units","[1421E] Sales of goods and services by government units","[1421E] Sales of goods and services by government units"
"Senegal 2013",Senegal,SN,2013,NA,"Pénalités versées à PETROSEN (flux n°17)","Société des Pétroles du Sénégal (PETROSEN)",0.0000000000,NA,0.0000000000,143E,"Fines, penalties, and forfeits (143E)","[1E] Revenues","[14E] Other revenue","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits"
"Senegal 2013",Senegal,SN,2013,NA,"Redressements fiscaux (secteur des hydrocarbures - flux n°22), Redressements fiscaux (secteur minier - flux n°28)","Direction Générale des Impôts et des Domaines (DGID)",12114000.0000000000,NA,12114000.0000000000,143E,"Fines, penalties, and forfeits (143E)","[1E] Revenues","[14E] Other revenue","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits"
"Senegal 2013",Senegal,SN,2013,NA,"Intérêts de retard (flux n°19)","Direction Générale des Douanes (DGD)",0.0000000000,NA,0.0000000000,143E,"Fines, penalties, and forfeits (143E)","[1E] Revenues","[14E] Other revenue","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits","[143E] Fines, penalties, and forfeits"
"Senegal 2014",Senegal,SN,2014,NA,"Impôt sur les sociétés","Direction Générale des Impôts et des Domaines (DGID)",1695360706.0000000000,NA,3434471.7741400000,1112E1,"Ordinary taxes on income, profits and capital gains (1112E1)","[1E] Revenues","[11E] Taxes","[111E] Taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains"
"Senegal 2014",Senegal,SN,2014,NA,"Impôt sur le revenu des valeurs mobilières","Direction Générale des Impôts et des Domaines (DGID)",33078290.0000000000,NA,67010.1960800000,1112E1,"Ordinary taxes on income, profits and capital gains (1112E1)","[1E] Revenues","[11E] Taxes","[111E] Taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains","[1112E1] Ordinary taxes on income, profits and capital gains"
"Senegal 2014",Senegal,SN,2014,NA,"Retenues à la source sur bénéfice non commercial","Direction Générale des Impôts et des Domaines (DGID)",7957147090.0000000000,NA,16119635.7722500000,112E,"Taxes on payroll and workforce (112E)","[1E] Revenues","[11E] Taxes","[112E] Taxes on payroll and workforce","[112E] Taxes on payroll and workforce","[112E] Taxes on payroll and workforce","[112E] Taxes on payroll and workforce"
"Senegal 2014",Senegal,SN,2014,NA,"Contribution foncière des propriétés bâties (CFPB)","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",10397850.0000000000,NA,21064.0262000000,113E,"Taxes on property (113E)","[1E] Revenues","[11E] Taxes","[113E] Taxes on property","[113E] Taxes on property","[113E] Taxes on property","[113E] Taxes on property"
"Senegal 2014",Senegal,SN,2014,NA,"Taxe sur la valeur ajoutée reversée","Direction Générale des Impôts et des Domaines (DGID)",20249680428.0000000000,NA,41021922.7207700000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2014",Senegal,SN,2014,NA,"Retenue à la source sur sommes versées à des tiers","Direction Générale des Impôts et des Domaines (DGID)",172609272.0000000000,NA,349672.8870400000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2014",Senegal,SN,2014,NA,"Taxe sur la valeur ajoutée précomptée (RAS)",Autres,127386567.0000000000,NA,258060.4630100000,1141E,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)","[1141E] General taxes on goods and services (VAT, sales tax, turnover tax)"
"Senegal 2014",Senegal,SN,2014,NA,"Contribution spéciale sur les produits des mines et des carrières (CSMC)","Direction Générale des Impôts et des Domaines (DGID)",1776706728.0000000000,NA,3599263.0280100000,1142E,"Excise taxes (1142E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1142E] Excise taxes","[1142E] Excise taxes","[1142E] Excise taxes"
"Senegal 2014",Senegal,SN,2014,NA,Patente,"Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",1483692527.0000000000,NA,3005673.1216300000,114521E,"Licence fees (114521E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1145E] Taxes on use of goods/permission to use goods or perform activities","[114521E] Licence fees","[114521E] Licence fees"
"Senegal 2014",Senegal,SN,2014,NA,"Taxes d'abattage","Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",52682225.0000000000,NA,106723.9638900000,114522E,"Emission and pollution taxes (114522E)","[1E] Revenues","[11E] Taxes","[114E] Taxes on goods and services","[1145E] Taxes on use of goods/permission to use goods or perform activities","[114522E] Emission and pollution taxes","[114522E] Emission and pollution taxes"
"Senegal 2014",Senegal,SN,2014,NA,"Droits de douane, TVA douanière et taxes assimilées","Direction Générale des Douanes (DGD)",5923717196.0000000000,NA,12000301.4318200000,1151E,"Customs and other import duties (1151E)","[1E] Revenues","[11E] Taxes","[115E] Taxes on international trade and transactions","[1151E] Customs and other import duties","[1151E] Customs and other import duties","[1151E] Customs and other import duties"
"Senegal 2014",Senegal,SN,2014,NA,"Autres flux de paiements significatifs","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",497474000.0000000000,NA,1007785.7799400000,116E,"Other taxes payable by natural resource companies (116E)","[1E] Revenues","[11E] Taxes","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies","[116E] Other taxes payable by natural resource companies"
"Senegal 2014",Senegal,SN,2014,NA,"Cotisations sociales (y compris les pénalités)","Caisse de Sécurité Sociale (CSS)",454010466.0000000000,NA,919737.0949600000,1212E,"Social security employer contributions (1212E)","[1E] Revenues","[12E] Social contributions","[1212E] Social security employer contributions","[1212E] Social security employer contributions","[1212E] Social security employer contributions","[1212E] Social security employer contributions"
"Senegal 2014",Senegal,SN,2014,NA,"Cotisations sociales (y compris les pénalités)","Institution de prévoyance retraite du Sénégal (IPRES)",1498404428.0000000000,NA,3035476.5779400000,1212E,"Social security employer contributions (1212E)","[1E] Revenues","[12E] Social contributions","[1212E] Social security employer contributions","[1212E] Social security employer contributions","[1212E] Social security employer contributions","[1212E] Social security employer contributions"
"Senegal 2014",Senegal,SN,2014,NA,"Dividendes PETROSEN","Direction Générale de la Comptabilité Publique et du Trésor (DGCPT)",0.0000000000,NA,0.0000000000,1412E1,"From state-owned enterprises (1412E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1412E] Dividends","[1412E1] From state-owned enterprises","[1412E1] From state-owned enterprises"
"Senegal 2014",Senegal,SN,2014,NA,"Redevance minière","Direction des Mines et de la Géologie (DMG)",8718135904.0000000000,NA,17661251.4254100000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2014",Senegal,SN,2014,NA,"Loyer superficiel","Société des Pétroles du Sénégal (PETROSEN)",220328607.3526000000,NA,446342.9996400000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2014",Senegal,SN,2014,NA,"Taxe superficiaire","Direction de l'Environnement et des Etablissements Classés (DEEC)",60542587.0000000000,NA,122647.5318500000,1415E1,"Royalties (1415E1)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E1] Royalties","[1415E1] Royalties"
"Senegal 2014",Senegal,SN,2014,NA,Bonus,"Société des Pétroles du Sénégal (PETROSEN)",740446050.0000000000,NA,1500000.0000000000,1415E2,"Bonuses (1415E2)","[1E] Revenues","[14E] Other revenue","[141E] Property income","[1415E] Rent","[1415E2] Bonuses","[1415E2] Bonuses"
